StudentID,AVTYPE,Ethnicity,Gender,Age,A.Delta,A.Theta,A.Alpha1,A.Alpha2,A.Beta1,A.Beta2,A.Gamma1.,A.Gamma2,A. Attention,A. Mediation
0,3,Han Chinese,M,25,544319.375,124953.6806,36699.34722,25876.40972,20111.73611,40270,40730.69444,16814.375,55.25694444,53.82638889
0,2,Han Chinese,M,25,739692.8571,161056.5071,34915.15714,25080.21429,22156.72857,37404.77857,36761.1,14520.85714,43.62142857,48.62142857
0,2,Han Chinese,M,25,694419.7183,149828.0282,30487.33099,21664,21887.4507,36451.69014,33909.14789,14547.3169,43.97887324,47.31690141
0,2,Han Chinese,M,25,600810.4098,162644.4262,33369.06557,26272.62295,17213.95082,43703.93443,41420.65574,16563.44262,51.05737705,51.8442623
0,2,Han Chinese,M,25,546538.5345,126886.3793,23111.37931,17019.93103,15958.55172,36428.01724,36026.12069,14759.5431,55.22413793,47.47413793
0,3,Han Chinese,M,25,935067.4797,282519.5935,70474.01626,40751.11382,28635.58537,41461.86992,54069.26829,22654.69106,49.81300813,41.04878049
0,4,Han Chinese,M,25,785178.4483,212902.2414,35399.17241,24324.31034,19988.2931,30957.84483,30171.72414,14367.22414,33.5862069,44.31034483
0,3,Han Chinese,M,25,478034.0179,114140.5357,25734.57143,16241.35714,15280.9375,37800.33929,36328.57143,13715.82143,48,50.24107143
0,3,Han Chinese,M,25,914397.5806,198885.8065,42276.85484,25930.46774,20326.1371,36780,45423.06452,17553.83065,55.5483871,52.87903226
0,1,Han Chinese,M,25,602329.5082,130768.7705,26436.2623,20617.21311,20125.62295,29251.72131,28182.78689,11690.67213,49.93442623,47.2704918
1,3,Han Chinese,M,24,265933.4429,83328.07143,21732.88571,17171.70714,19313.92857,9349.285714,5577.821429,3927.207143,52.45714286,62.52142857
1,2,Han Chinese,M,24,478514.507,143237.2535,33751.02113,22901.97183,20392.11268,12890.70423,5173.802817,3662.161972,40.09859155,57.92253521
1,2,Han Chinese,M,24,620727.0492,153248.1148,38836.88525,24023.27869,19951.39344,14198.95902,5219.459016,3640.540984,34.72131148,53.82786885
1,2,Han Chinese,M,24,844456.8966,281274.4828,67678.36207,39668.18103,28133.56034,26737.71552,13086.90517,3337.793103,15.90517241,35.56034483
1,2,Han Chinese,M,24,402080,140180.3472,32661.03472,26381.875,24590.55556,15989.6875,10064.01389,7354.229167,46.86805556,59.86111111
1,3,Han Chinese,M,24,324530.3252,92083.57724,24880.81301,22125.43089,18938.23577,14465.77236,8561.430894,7151.243902,63.6504065,58.18699187
1,4,Han Chinese,M,24,323103.2258,93135.24194,24793.98387,16538.66129,14937.3871,10117.31452,4401.080645,2985.814516,46.42741935,63.75806452
1,3,Han Chinese,M,24,405930.1639,112290.7377,27400.13115,21278.77869,21255.56557,12711.43443,8463.213115,5142.762295,52.45901639,60.56557377
1,3,Han Chinese,M,24,358442.2137,88827.32824,24491.37405,19366.99237,17687.40458,10938.93893,5228.748092,4575.793893,51.88549618,61.77862595
1,1,Han Chinese,M,24,319977.2263,87992.9927,25624.0146,21978.46715,22297.9562,10123.67883,5109.116788,3392.883212,48.35036496,62.32846715
2,3,English,M,31,14241.28571,14057.92857,5974.678571,6495.05,5498.5,6129.357143,3284.042857,2812.171429,61.00714286,53.34285714
2,2,English,M,31,37940.98592,17893.52113,7906.147887,9252.373239,6136.774648,7156.408451,3491.816901,2496.394366,56.78169014,60.07746479
2,2,English,M,31,27657.54098,17315,6714.565574,8158.42623,5925.5,6037.95082,2918.311475,2150.5,60.80327869,66.18852459
2,2,English,M,31,17213.56034,15317.5,6635.663793,6402.603448,5858.198276,5188.913793,2585.396552,1771.87069,42.5,62.94827586
2,2,English,M,31,29408.31944,18574.23611,8593.388889,11370.13889,12804.23611,17147.63889,10424.30556,7326.527778,65.27083333,60.99305556
2,3,English,M,31,96992.34146,38511.13821,13143.06504,11527.88618,15240.65041,12904.55285,8438.861789,6481.430894,77.02439024,64.88617886
2,4,English,M,31,17128.44828,12018.96552,5663.387931,6347.241379,5866.37931,6265.344828,2703.017241,2365.008621,55.68965517,55.73275862
2,3,English,M,31,103404.0619,23207.07965,9704.840708,9016.371681,10104.0708,10384.95575,6220.884956,5256.690265,43.18584071,61.63716814
2,3,English,M,31,31059.16031,19112.1374,6373.969466,6282.725191,6249.022901,6470.167939,3251.916031,2629.022901,52.85496183,58.54198473
2,1,English,M,31,30099.86861,17548.24818,7318.839416,7276.890511,6116.416058,5714.613139,2496.919708,2083.613139,42.17518248,65.05109489
3,3,Han Chinese,F,28,833717.8571,238808.0714,61259.4,52686.47857,23405.17857,38551.57143,24675.43571,3520.935714,33.81428571,47.65
3,2,Han Chinese,F,28,529537.3239,151048.8732,35183.19718,21494.64789,16559.94366,13144.29577,7771.140845,5082.28169,62.45774648,55.21830986
3,2,Han Chinese,F,28,655737.7586,132964.6552,27530.46552,19946,15396,14290.10345,7594.525862,4699.62069,62.20689655,51.30172414
3,2,Han Chinese,F,28,679519.6528,132346.9444,42892.00694,23473.16667,14491.24306,51325.97917,13870.30556,1893.993056,0,0
3,2,Han Chinese,F,28,956426.3889,324857.9167,73578.33333,44597.39583,33298.95833,24851.54167,13405.63194,7602.541667,34.36805556,52.59027778
3,3,Han Chinese,F,28,726431.3821,191635.935,35007.5122,22386.91057,21412.68293,14352.69106,8083.203252,5137.260163,47.46341463,52.30081301
3,4,Han Chinese,F,28,908152.2124,281671.5044,52037.26549,38948.87611,25378.33628,21029.9646,11138.76991,6504.743363,44.5840708,48.11504425
3,3,Han Chinese,F,28,843128.2258,235477.7419,52784.68548,25383.75806,23203.49194,16425.00806,9440.185484,5877.572581,46.57258065,45
3,3,Han Chinese,F,28,776321.0687,182144.4275,40636.22137,26062.59542,20268.54962,14947.71756,8706.335878,6240.648855,50.8778626,59.29007634
3,1,Han Chinese,F,28,907180.292,336324.1606,98267.9927,62107.73723,39471.59124,31107,16907.91241,6779.620438,25.79562044,49.11678832
4,3,Bengali,M,24,231674,78782.92857,17325.26429,15246.96429,20256.85714,13801.92857,12168.92857,9173.064286,54.35714286,51.65
4,2,Bengali,M,24,422746.831,134597.6056,31893.89437,24475.07042,19614.29577,21044.59155,17378.54225,14076.66197,42.56338028,43.1056338
4,2,Bengali,M,24,437626.6393,128994.3197,28337.79508,18705.4918,19854.37705,13468.93443,9841.393443,8479.614754,47.39344262,62.54098361
4,2,Bengali,M,24,470530.9483,125697.6724,25567.72414,18867.48276,17888.18103,16761.72414,11581.06897,8992.586207,40.12068966,43.62068966
4,2,Bengali,M,24,425910.2778,124747.9167,28025.78472,26124.19444,17903.4375,14795.09722,11445.5625,9560.430556,49.97916667,57.60416667
4,3,Bengali,M,24,247088.374,88328.94309,20752.76423,18108.33333,14828.34959,15787.64228,9590.739837,7072.707317,58.46341463,69.97560976
4,4,Bengali,M,24,341448.7097,90357.90323,19113.23387,16398.99194,13916.04032,12306.66129,7842.548387,6493.919355,38.46774194,45.66935484
4,3,Bengali,M,24,446228.9836,124513.5246,27243.78689,23946.38525,20979.47541,17090.51639,15298.86066,10673.68033,36.54918033,49.29508197
4,3,Bengali,M,24,362769.542,110031.6031,24903.53435,21535.0687,17510.53435,16317.93893,10364.55725,7861.381679,36.63358779,50.70992366
4,1,Bengali,M,24,263404.6489,83733.96947,26475.54198,13989.12214,10605.03817,10009.92366,6131.687023,5262.183206,43.00763359,55.16793893
5,3,Han Chinese,M,24,473300.4167,170435.6944,31757.11111,29006.31944,13779.27083,21671.66667,13644.76389,2123.319444,48.93055556,49.49305556
5,2,Han Chinese,M,24,860294.2857,253058.0714,54018.52143,34293.31429,34195.29286,23597.05,12223.65714,4893.078571,51.75,48.9
5,2,Han Chinese,M,24,846702.8169,276576.338,68984.59155,48247.61972,33324.43662,28726.69014,15606.69718,5812.514085,48.23943662,59.85211268
5,2,Han Chinese,M,24,965408.1967,284350.6557,56459.02459,28240.68852,24232.37705,17154.34426,8630.786885,5496.07377,37.79508197,52.90983607
5,2,Han Chinese,M,24,576947.4138,171844.4828,54131.4569,34969.63793,17414.24138,17669.35345,12443.91379,2618.793103,47.9137931,56.59482759
5,3,Han Chinese,M,24,836633.3333,323903.9024,85201.54472,56633.5122,41188.3252,31141.38211,16967.79675,5348.471545,46.82926829,55.67479675
5,4,Han Chinese,M,24,958122.4138,358214.2241,101861.7241,64946.72414,42409.56897,34775.68966,21025.08621,7827.112069,43.50862069,59.96551724
5,3,Han Chinese,M,24,637299.115,152488.6726,37330.0531,31968.23009,14104.18584,20555.22124,12367.32743,2519.300885,49.86725664,52.15044248
5,3,Han Chinese,M,24,873016.129,263213.7903,56759.37097,34277.85484,32485.16129,21341.50806,11047.24194,4619.185484,43.02419355,50.83064516
5,1,Han Chinese,M,24,500363.9344,164911.1475,39461.20492,29161.15574,15732.5082,21431.80328,12902.29508,2241.786885,47.07377049,56.7704918
6,3,Han Chinese,M,24,807630,401558.5,112947.9643,141031.0714,81024.28571,112253.8571,73140.42857,79094.64286,0,0
6,2,Han Chinese,M,24,595211.2676,231273.2394,41721.90845,46108.66197,48272.1831,275726.7606,287957.7465,76422.11268,0,0
6,2,Han Chinese,M,24,584410.6557,225144.2623,38180.59016,39719.09836,47813.44262,276045.9016,241515.5738,82968.77049,0,0
6,2,Han Chinese,M,24,855629.6552,342891.3793,125190,130994.4828,96781.2931,130060.9483,92972.67241,88736.55172,0,0
6,2,Han Chinese,M,24,733168.75,255170.8333,55619.52778,51379.65278,56761.94444,297834.0278,283161.8056,97852.77778,0,0
6,3,Han Chinese,M,24,675648.2114,171928.2927,44628.01626,67194.47154,49161.62602,104041.4634,109230.2439,52461.13821,0,0
6,4,Han Chinese,M,24,793781.8966,246921.5517,42995.57759,75041.37931,61962.58621,159153.5345,146820.6034,66666.63793,0,0
6,3,Han Chinese,M,24,756097.3451,172684.0708,56381.68142,66110.61947,55271.9469,59502.47788,53263.9823,49020.70796,0,0
6,3,Han Chinese,M,24,878946.3934,241469.6721,83626.36066,93752.54098,64230,83448.27869,55961.55738,56785.16393,0,0
6,1,Han Chinese,M,24,822768.6131,208956.9343,67297.32847,77391.75182,51915.69343,72588.32117,61236.78832,49874.16058,0,0
7,3,Han Chinese,M,25,599422.6429,126588.7857,27297.62143,19779.79286,19108.42143,34533.42857,26104.32143,18573.65,46.36428571,43.64285714
7,2,Han Chinese,M,25,826074.7887,171742.0423,38773.49296,24260.57042,17014.40141,25106.12676,22334.52113,16001.98592,43.21830986,51.95774648
7,2,Han Chinese,M,25,239833.6066,66518.85246,15494.16393,14790.59836,17694.03279,24042.54098,16307.45902,11928.14754,56.07377049,48.77868852
7,2,Han Chinese,M,25,911703.4483,235540.8621,55028.05172,30385.55172,21530.59483,22513.01724,19499.25,12029.75862,20.50862069,57.96551724
7,2,Han Chinese,M,25,461856.6667,112650,23726.38194,18678.09028,17575.11111,29318.40278,21116.73611,16283.40278,50.42361111,47.36111111
7,3,Han Chinese,M,25,877704.3333,197816.3008,49989.04065,30914.22764,22346.81301,26941.64228,24830.91057,16562.41463,28.58536585,54.20325203
7,4,Han Chinese,M,25,416303.1034,81629.65517,20953.06034,16563.4569,16704.36207,25216.17241,16471.2931,12717.47414,60.87931034,61.62931034
7,3,Han Chinese,M,25,529300.8065,122841.2097,26900.37097,21456.91935,21440.23387,36320.48387,24564.35484,17716.49194,39.30645161,42.81451613
7,3,Han Chinese,M,25,528860.687,110184.3511,23697.40458,16869.01527,16962.89313,32453.74046,23423.72519,17111.80916,48.3129771,42.06870229
7,1,Han Chinese,M,25,271825.5085,76565.25424,19671.73729,15730,20219.83051,31477.37288,23810.59322,16597.62712,53.65254237,54.19491525
8,3,Han Chinese,M,25,791846.2857,211817.3571,42175.8,27706.01429,23241.92857,19497.17857,14348.03571,10951.32857,50.69285714,49.75
8,2,Han Chinese,M,25,606739.8592,160924.2254,36887.51408,26484.35915,18685.07042,18106.73944,11485.42254,8224.366197,50.04929577,64.41549296
8,2,Han Chinese,M,25,618800.4098,169913.1148,37323.48361,24461.22951,15810.08197,15556.63934,11530,6619.696721,52.91803279,49.92622951
8,2,Han Chinese,M,25,677453.4483,173730.3448,33513.7931,20031.35345,18597.4569,18215.75,11756.73276,8099.327586,53.63793103,54.31034483
8,2,Han Chinese,M,25,956426.3889,324857.9167,73578.33333,44597.39583,33298.95833,24851.54167,13405.63194,7602.541667,34.36805556,52.59027778
8,3,Han Chinese,M,25,1067509.756,270407.3171,83956.99187,60549.26829,36327.17886,31725.44715,17283.90244,9374.089431,33.30894309,46.06504065
8,4,Han Chinese,M,25,840338.5484,215790.3226,41194.69355,28295.07258,19716.77419,19205.72581,12394.96774,9092.701613,47.75806452,46.24193548
8,3,Han Chinese,M,25,786745.082,203525.5738,34403.52459,26278.16393,20526.06557,19074.2623,14849.01639,8962.065574,50.93442623,48.35245902
8,3,Han Chinese,M,25,970633.5878,297936.7939,85592.59542,72021.52672,37475.57252,45704.12214,33893.05344,16777.96183,36.9389313,47.88549618
8,1,Han Chinese,M,25,995018.6441,336337.2881,77179.83051,54311.38136,40757.95763,30527.9661,14851.09322,8339.364407,29.60169492,39.66101695
9,3,Han Chinese,F,24,1011267.361,232949.5139,51605.02778,82686.11111,25167.47917,62360.76389,36433.65972,4819.25,35,57.84722222
9,2,Han Chinese,F,24,813587.8571,99966.52857,38476.79286,39754.98571,15114.24286,73014.71429,14934.70714,2898.85,58.05714286,41.11428571
9,2,Han Chinese,F,24,847683.8028,161325.9155,50137.39437,44365.03521,17365.8169,33032.67606,21639.41549,3263.887324,39.77464789,56.6056338
9,2,Han Chinese,F,24,906331.1475,177940.3279,51610.53279,60842.87705,16648.80328,57444.91803,26717.57377,3339.909836,42.6557377,62.2295082
9,2,Han Chinese,F,24,861853.4483,159113.6207,57436.32759,46782.75862,25219.83621,52064.56897,26353.47414,3778.612069,38.9137931,50.42241379
9,3,Han Chinese,F,24,935067.4797,282519.5935,70474.01626,40751.11382,28635.58537,41461.86992,54069.26829,22654.69106,49.81300813,41.04878049
9,4,Han Chinese,F,24,780572.4138,193229.9138,74624.97414,44057.18966,23815.14655,25937.84483,17280.16379,3855.741379,29.62068966,53.29310345
9,3,Han Chinese,F,24,733178.5714,137467.1429,37671.28571,28576.50893,14773.07143,19905.53571,18245.35714,2697.607143,27.63392857,48.36607143
9,3,Han Chinese,F,24,914397.5806,198885.8065,42276.85484,25930.46774,20326.1371,36780,45423.06452,17553.83065,55.5483871,52.87903226
9,1,Han Chinese,F,24,873581.1475,162477.2951,42511.51639,37861.46721,15350.02459,56492.62295,22270.08197,2996.319672,45.26229508,46.55737705
